Period,GDP
2004-05:Q1,750043
2004-05:Q2,758082
2004-05:Q3,850387
2004-05:Q4,883697
2005-06:Q1,819226
2005-06:Q2,822092
2005-06:Q3,926696
2005-06:Q4,975230
2006-07:Q1,879898
2006-07:Q2,906265
2006-07:Q3,1014524
2006-07:Q4,1070802
2007-08:Q1,975012
2007-08:Q2,989102
2007-08:Q3,1121528
2007-08:Q4,1165306
2008-09:Q1,1053833
2008-09:Q2,1055723
2008-09:Q3,1138740
2008-09:Q4,1168055
2009-10:Q1,1106460
2009-10:Q2,1129179
2009-10:Q3,1232237
2009-10:Q4,1322962
2010-11:Q1,1220352.47
2010-11:Q2,1238484.24
2010-11:Q3,1363975.14
2010-11:Q4,1459572.25
2011-12:Q1,1321874
2011-12:Q2,1321178
2011-12:Q3,1448214
2011-12:Q4,1541783.366
2012-13:Q1,1374346
2012-13:Q2,1382866
2012-13:Q3,1525258
2012-13:Q4,1617379
2013-14:Q1,1432240
2013-14:Q2,1454346
2013-14:Q3,1592637
2013-14:Q4,1716618
